sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
Since then, police divers have searched nearby parts of Long Island Sound looking for the remaining three.	Since then, police divers have searched those waters looking for the remaining three.	[2, 6, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6, 6]	['Since', 'then', ',', 'police', 'divers', 'have', 'searched', 'nearby', 'parts', 'of', 'Long', 'Island', 'Sound', 'looking', 'for', 'the', 'remaining', 'three', '.']	['Since', 'then', ',', 'police', 'divers', 'have', 'searched', 'those', 'waters', 'looking', 'for', 'the', 'remaining', 'three', '.\n']	e3ecbbef1eb14ba6a6a2c28300862a20
Thousands of people in the South of England caught a glimpse of a lunar eclipse as they gazed up at the sky on Saturday night.	Thousands of people in the South of England caught a glimpse of the lunar eclipse as they gazed up at the night sky early today.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 7]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 0, 0, 6]	['Thousands', 'of', 'people', 'in', 'the', 'South', 'of', 'England', 'caught', 'a', 'glimpse', 'of', 'a', 'lunar', 'eclipse', 'as', 'they', 'gazed', 'up', 'at', 'the', 'sky', 'on', 'Saturday', 'night', '.']	['Thousands', 'of', 'people', 'in', 'the', 'South', 'of', 'England', 'caught', 'a', 'glimpse', 'of', 'the', 'lunar', 'eclipse', 'as', 'they', 'gazed', 'up', 'at', 'the', 'night', 'sky', 'early', 'today', '.\n']	295a8870f1094ef2b7f0606de3d109cb
"Meanwhile, Lt. Gov. David Dewhurst alluded to an interparty political struggle: ""Sounds like the Republican primary started early this year."""	"Lt. Gov. David Dewhurst suggested a political motive for the report, saying: ""It sounds like the Republican primary started early this year."""	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 2, 0, 0, 0, 7, 7, 7, 7, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['Meanwhile', ',', 'Lt.', 'Gov', '.', 'David', 'Dewhurst', 'alluded', 'to', 'an', 'interparty', 'political', 'struggle', ':', '``', 'Sounds', 'like', 'the', 'Republican', 'primary', 'started', 'early', 'this', 'year', '.', ""''""]"	"['Lt.', 'Gov', '.', 'David', 'Dewhurst', 'suggested', 'a', 'political', 'motive', 'for', 'the', 'report', ',', 'saying', ':', '``', 'It', 'sounds', 'like', 'the', 'Republican', 'primary', 'started', 'early', 'this', 'year', '.', ""''\n""]"	6dda3380a1aa4ab39ee04fbcccc1ecf0
The comment period was to have expired on Monday.	A public comment period on the proposed new taxes will end on Monday.	[1, 2, 6, 7, 0, 0, 0]	[2, 6, 6, 1, 1, 1, 1, 6, 6, 6]	[2, 0, 6, 6, 0, 0, 0, 0, 0, 1, 1, 6, 6, 6]	['The', 'comment', 'period', 'was', 'to', 'have', 'expired', 'on', 'Monday', '.']	['A', 'public', 'comment', 'period', 'on', 'the', 'proposed', 'new', 'taxes', 'will', 'end', 'on', 'Monday', '.\n']	29ced136dcf14f57ab3174de0e159f06
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.	The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.	[2, 4, 5, 6, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['Trading', 'in', 'Loral', 'was', 'halted', 'yesterday', ';', 'the', 'shares', 'closed', 'on', 'Monday', 'at', '$', '3.01', '.']	['The', 'New', 'York', 'Stock', 'Exchange', 'suspended', 'trading', 'yesterday', 'in', 'Loral', ',', 'which', 'closed', 'at', '$', '3.01', 'Friday', '.\n']	ffd14c074abc4fd6951dfded0ff58121
In September, a 27-year-old Singapore researcher contracted SARS while working in a laboratory.	In a case in August, a 27-year-old laboratory worker in Singapore developed SARS.	[2, 3, 6, 0, 0, 0, 0]	[6, 6, 6, 3, 3, 3, 3, 2, 6, 2, 2, 2, 2, 2, 6]	[6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 2, 6, 6]	['In', 'September', ',', 'a', '27-year-old', 'Singapore', 'researcher', 'contracted', 'SARS', 'while', 'working', 'in', 'a', 'laboratory', '.']	['In', 'a', 'case', 'in', 'August', ',', 'a', '27-year-old', 'laboratory', 'worker', 'in', 'Singapore', 'developed', 'SARS', '.\n']	fff353863c5e4f6e809ec3424b6c79d3
"Sean Harrigan of Calpers, the California fund, said: ""Today we are trying to pull the pig from the trough."	"""Today we are trying to pull the pig away from the trough,"" Mr. Harrigan said."	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6]	['Sean', 'Harrigan', 'of', 'Calpers', ',', 'the', 'California', 'fund', ',', 'said', ':', '``', 'Today', 'we', 'are', 'trying', 'to', 'pull', 'the', 'pig', 'from', 'the', 'trough', '.']	"['``', 'Today', 'we', 'are', 'trying', 'to', 'pull', 'the', 'pig', 'away', 'from', 'the', 'trough', ',', ""''"", 'Mr.', 'Harrigan', 'said', '.\n']"	13b268ae56e04ad4a839f9c151fcddff
But Abraham said changes in air-pollution rules would be up to the Environmental Protection Agency (EPA).	Changes in air pollution rules would be up to the Environmental Protection Agency.	[2, 6, 7, 0, 0, 0, 0]	[7, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['But', 'Abraham', 'said', 'changes', 'in', 'air-pollution', 'rules', 'would', 'be', 'up', 'to', 'the', 'Environmental', 'Protection', 'Agency', '(', 'EPA', ')', '.']	['Changes', 'in', 'air', 'pollution', 'rules', 'would', 'be', 'up', 'to', 'the', 'Environmental', 'Protection', 'Agency', '.\n']	f6fa6e70e89d4915983adc35922d09f5
With Claritin's decline, Schering-Plough's best-selling products now are two drugs used together to treat hepatitis C, the antiviral pill ribavirin and an interferon medicine called Peg-Intron.	With Claritin's decline, Schering-Plough's best-selling products are now antiviral drug ribavirin and an interferon medicine called Peg-Intron -- two drugs used together to treat hepatitis C.	[2, 3, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 0, 7, 3, 3, 3, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6]	"['With', 'Claritin', ""'s"", 'decline', ',', 'Schering-Plough', ""'s"", 'best-selling', 'products', 'now', 'are', 'two', 'drugs', 'used', 'together', 'to', 'treat', 'hepatitis', 'C', ',', 'the', 'antiviral', 'pill', 'ribavirin', 'and', 'an', 'interferon', 'medicine', 'called', 'Peg-Intron', '.']"	"['With', 'Claritin', ""'s"", 'decline', ',', 'Schering-Plough', ""'s"", 'best-selling', 'products', 'are', 'now', 'antiviral', 'drug', 'ribavirin', 'and', 'an', 'interferon', 'medicine', 'called', 'Peg-Intron', '--', 'two', 'drugs', 'used', 'together', 'to', 'treat', 'hepatitis', 'C', '.\n']"	5c3d4afa9f0948e893ae2813b46c5a1c
"""It is a benign web where we hope to catch investors and where each of us can advance our enlightened self interest through cooperation with others."""	It is a benign web where we hope to catch investors and where each of us can advance our enlightened self-interest through cooperation with others,' said Mr Goh.	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 7, 0, 7, 7, 7, 6]	"['``', 'It', 'is', 'a', 'benign', 'web', 'where', 'we', 'hope', 'to', 'catch', 'investors', 'and', 'where', 'each', 'of', 'us', 'can', 'advance', 'our', 'enlightened', 'self', 'interest', 'through', 'cooperation', 'with', 'others', '.', ""''""]"	"['It', 'is', 'a', 'benign', 'web', 'where', 'we', 'hope', 'to', 'catch', 'investors', 'and', 'where', 'each', 'of', 'us', 'can', 'advance', 'our', 'enlightened', 'self-interest', 'through', 'cooperation', 'with', 'others', ',', ""'"", 'said', 'Mr', 'Goh', '.\n']"	cf322668c1e6449fb71c6a5a0d1aab87
Overture's listings are generated by more than 100,000 advertisers who bid for placement on keywords relevant to their business.	Overture generates its search listings from more than 100,000 advertisers who bid for placement on keywords relevant to their business.	[2, 4, 6, 7, 0, 0, 0]	[4, 4, 4, 4, 4, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[4, 4, 4, 0, 4, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['Overture', ""'s"", 'listings', 'are', 'generated', 'by', 'more', 'than', '100,000', 'advertisers', 'who', 'bid', 'for', 'placement', 'on', 'keywords', 'relevant', 'to', 'their', 'business', '.']"	['Overture', 'generates', 'its', 'search', 'listings', 'from', 'more', 'than', '100,000', 'advertisers', 'who', 'bid', 'for', 'placement', 'on', 'keywords', 'relevant', 'to', 'their', 'business', '.\n']	6242f1a47be5456898a03d75ca6a9948
Last month, 62 Spanish peacekeepers died when their plane crashed in Turkey as they were returning home.	In another disaster, 62 Spanish peacekeepers were killed May 26 when their plane crashed in Turkey on their way home.	[2, 4, 6, 7, 0, 0, 0]	[6, 6, 6, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 7]	[7, 7, 7, 7, 6, 6, 6, 2, 2, 0, 0, 6, 6, 6, 6, 6, 6, 4, 4, 4, 4, 6]	['Last', 'month', ',', '62', 'Spanish', 'peacekeepers', 'died', 'when', 'their', 'plane', 'crashed', 'in', 'Turkey', 'as', 'they', 'were', 'returning', 'home', '.']	['In', 'another', 'disaster', ',', '62', 'Spanish', 'peacekeepers', 'were', 'killed', 'May', '26', 'when', 'their', 'plane', 'crashed', 'in', 'Turkey', 'on', 'their', 'way', 'home', '.\n']	f2f91433ae654dc6b35aeb8c457b926e
"This deterioration of security compounds when nearly all computers rely on a single operating system subject to the same vulnerabilities the world over,"" Geer added."	"""The deterioration of security compounds when nearly all computers rely on a single operating system subject to the same vulnerabilities the world over."""	[2, 5, 6, 7, 0, 0, 0]	[2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 0, 7, 7, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6]	"['This', 'deterioration', 'of', 'security', 'compounds', 'when', 'nearly', 'all', 'computers', 'rely', 'on', 'a', 'single', 'operating', 'system', 'subject', 'to', 'the', 'same', 'vulnerabilities', 'the', 'world', 'over', ',', ""''"", 'Geer', 'added', '.']"	"['``', 'The', 'deterioration', 'of', 'security', 'compounds', 'when', 'nearly', 'all', 'computers', 'rely', 'on', 'a', 'single', 'operating', 'system', 'subject', 'to', 'the', 'same', 'vulnerabilities', 'the', 'world', 'over', '.', ""''\n""]"	328e36c77cd94376aaae8a8ee06ded29
The appeals court judges were in sharp disagreement over what should be done when they ruled in February.	The appellate judges were in sharp disagreement when they ruled in February.	[2, 6, 7, 0, 0, 0, 0]	[0, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['The', 'appeals', 'court', 'judges', 'were', 'in', 'sharp', 'disagreement', 'over', 'what', 'should', 'be', 'done', 'when', 'they', 'ruled', 'in', 'February', '.']	['The', 'appellate', 'judges', 'were', 'in', 'sharp', 'disagreement', 'when', 'they', 'ruled', 'in', 'February', '.\n']	9d7b451efb924fe493db7bd4ddd4f3d9
Operating revenue fell 4.5 percent to $2.3 billion from a year earlier.	Operating revenues were down about 1 percent to $4.55 billion, from $4.59 billion.	[1, 2, 5, 6, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['Operating', 'revenue', 'fell', '4.5', 'percent', 'to', '$', '2.3', 'billion', 'from', 'a', 'year', 'earlier', '.']	['Operating', 'revenues', 'were', 'down', 'about', '1', 'percent', 'to', '$', '4.55', 'billion', ',', 'from', '$', '4.59', 'billion', '.\n']	0e64b3d7ace541fa9851da97bcc2c0fc
